"from","to","similVal"
"bL_1","bL_3",0.330382470250828
"bL_1","dzL_1",0.223141764392755
"bL_1","LO_1",0.317082764813984
"bL_1","LO_3",0.382841053529157
"bL_2","dzL_1",0.267756506270062
"bL_2","gibsonTL_1",0.275872268845376
"bL_2","LO_4",0.31737018955113
"bL_2","TLB_16",0.204430389480033
"bL_2","TLB_2",0.352468518076737
"bL_2","TLB_24",0.312830262668204
"bL_2","TLB_Sav_27",0.22404524643907
"bL_2","TLQ_1",0.228894728944835
"bL_3","dedreuTL_1",0.31948237363695
"bL_3","LFM_4",0.205521519378836
"bL_3","LO_5",0.31658961780065
"bL_3","TLB_22",0.2496802985517
"bL_4","bL_5",0.248108223509847
"bL_4","gibsonTL_9",0.283357459893822
"bL_4","TLB_34",0.209999317298134
"bL_5","LA_5",0.207367935867353
"bL_5","TLB_1",0.265638702228383
"bL_5","TLB_5",0.274349316073179
"bL_5","TLIE_6",0.289109923945505
"bL_5","TLP_14",0.277277299862166
"dedreuTL_1","dedreuTL_2",0.288427591867964
"dedreuTL_1","LFM_4",0.60411905078264
"dedreuTL_1","LFM_5",0.330890345572005
"dedreuTL_1","LO_1",0.407591951388491
"dedreuTL_1","TLB_16",0.200917876488063
"dedreuTL_1","TLB_Sav_1",0.210262091575153
"dedreuTL_1","TLB_Sav_20",0.205063208733936
"dedreuTL_1","TLP_14",0.323114639064242
"dedreuTL_1","TLQ_10",0.470677987165502
"dedreuTL_1","TLQ_3",0.22948382559504
"dedreuTL_2","LFF_2",0.213963106634467
"dedreuTL_2","LFF_3",0.259166143807335
"dedreuTL_2","LFM_1",0.221820447490656
"dedreuTL_2","LFM_3",0.221100880302874
"dedreuTL_2","LFM_4",0.369673850762117
"dedreuTL_2","LFM_5",0.728225260175689
"dedreuTL_2","TLB_Sav_11",0.313309513778533
"dedreuTL_2","TLB_Sav_12",0.337731215318701
"dedreuTL_2","TLB_Sav_13",0.413460529166534
"dedreuTL_2","TLB_Sav_14",0.30081561019298
"dedreuTL_2","TLB_Sav_15",0.37806160792534
"dedreuTL_2","TLB_Sav_20",0.218043312540916
"dedreuTL_2","TLB_Sav_8",0.209778099219345
"dedreuTL_2","TLB_Sav_9",0.34397713331116
"dedreuTL_2","TLFS_2",0.355989963694978
"dedreuTL_2","TLP_14",0.337914998267006
"dedreuTL_2","TLQ_1",0.358688662700453
"dedreuTL_2","TLQ_10",0.511948114346525
"dedreuTL_3","TLB_Sav_23",0.340274545870723
"dedreuTL_3","TLB_Sav_25",0.374937018216871
"dedreuTL_3","TLB_Sav_5",0.201681452912224
"dedreuTL_3","TLB_Sav_6",0.48536472006859
"dzL_1","LFM_1",0.253755324156886
"dzL_1","TLB_Sav_19",0.208331559794685
"dzL_1","TLQ_1",0.245808512045514
"dzL_1","TLTM_1",0.204524587929744
"dzL_2","LA_11",0.242966790719616
"dzL_2","TLB_29",0.454583281584111
"dzL_3","TLB_20",0.247396944268078
"dzL_4","SKD_1",0.265460663872215
"gibsonTL_1","gibsonTL_2",0.438182777885097
"gibsonTL_1","TEEL_2",0.205885363314588
"gibsonTL_1","TEEL_5",0.4663091889111
"gibsonTL_1","TLB_Sav_27",0.282971164175611
"gibsonTL_1","TLP_6",0.206736057760231
"gibsonTL_2","LO_2",0.203650033193233
"gibsonTL_2","TEEL_3",0.25986154232939
"gibsonTL_2","TLB_Sav_16",0.291240181939092
"gibsonTL_2","TLB_Sav_18",0.221148707096385
"gibsonTL_2","TLB_Sav_27",0.220406082725755
"gibsonTL_2","TLP_2",0.253491466316212
"gibsonTL_3","TL_IRT_5",0.200564337902911
"gibsonTL_3","TL_IRT_7",0.243903091250613
"gibsonTL_3","TLB_5",0.202405592912696
"gibsonTL_4","TLQ_9",0.317202792270298
"gibsonTL_5","TLB_14",0.220841681851213
"gibsonTL_5","TLB_Sav_6",0.246717894838334
"gibsonTL_5","TLQ_6",0.229147597619143
"gibsonTL_6","LO_5",0.306479344420186
"gibsonTL_6","TL_IRT_10",0.23113363498667
"gibsonTL_6","TLB_3",0.201396344644897
